wage,educ,exper,tenure,gender,married
3.0999999046325684,11,2,0,female,single
3.240000009536743,12,22,2,female,married
3.0,11,2,0,male,single
6.0,8,44,28,male,married
5.300000190734863,12,7,2,male,married
8.75,16,9,8,male,married
11.25,18,15,7,male,single
5.0,12,5,3,female,single
3.5999999046325684,12,26,4,female,single
18.18000030517578,17,22,21,male,married
6.25,16,8,2,female,single
8.130000114440918,13,3,0,female,single
8.770000457763672,12,15,0,male,married
5.5,12,18,3,male,single
22.200000762939453,12,31,15,male,married
17.329999923706055,16,14,0,male,married
7.5,12,10,0,female,married
10.630000114440918,13,16,10,female,single
3.5999999046325684,12,13,0,female,married
4.5,12,36,6,female,married
6.880000114440918,12,11,4,female,single
8.479999542236328,12,29,13,male,married
6.329999923706055,16,9,9,female,single
0.5299999713897705,12,3,1,female,single
6.0,11,37,8,female,single
9.5600004196167,16,3,3,male,married
7.78000020980835,16,11,10,male,married
12.5,16,31,0,male,married
12.5,15,30,0,male,married
3.25,8,9,1,female,married
13.0,14,23,5,male,married
4.5,14,2,5,female,single
9.68000030517578,13,16,16,female,single
5.0,12,7,3,female,single
4.679999828338623,12,3,0,female,single
4.269999980926514,16,22,4,female,married
6.150000095367432,12,15,6,female,married
3.509999990463257,4,39,15,male,married
3.0,14,3,3,female,married
6.25,12,11,0,female,single
7.809999942779541,12,3,0,female,married
10.0,12,20,5,female,married
4.5,14,16,0,female,married
4.0,11,45,12,female,married
6.380000114440918,13,11,4,female,single
13.699999809265137,15,20,13,male,married
1.6699999570846558,10,1,0,male,single
2.930000066757202,12,36,2,female,married
3.650000095367432,14,9,2,male,single
2.900000095367432,12,15,1,female,married
1.6299999952316284,12,18,0,female,single
8.600000381469727,16,3,2,female,single
5.0,12,15,5,male,married
6.0,12,7,7,male,married
2.5,12,2,0,male,single
3.25,15,3,0,male,single
3.400000095367432,16,1,1,female,single
10.0,8,13,0,male,single
21.6299991607666,18,8,8,female,single
4.380000114440918,16,7,0,male,single
11.710000038146973,13,40,20,female,single
12.390000343322754,14,42,5,male,single
6.25,10,36,8,male,single
3.7100000381469727,10,13,0,female,single
7.78000020980835,14,9,3,male,single
19.979999542236328,14,26,23,male,married
6.25,16,7,4,female,married
10.0,12,25,3,male,married
5.710000038146973,16,10,5,male,married
2.0,12,3,2,female,single
5.710000038146973,16,3,0,female,single
13.079999923706056,17,17,2,male,married
4.909999847412109,12,17,8,male,married
2.9100000858306885,12,20,34,female,married
3.75,12,7,0,female,married
11.899999618530272,13,24,19,male,married
4.0,12,28,0,female,married
3.0999999046325684,12,2,1,female,single
8.449999809265137,12,19,13,male,married
7.139999866485596,18,13,0,male,married
4.5,9,22,5,male,married
4.650000095367432,16,3,1,male,single
2.900000095367432,10,4,0,female,single
6.670000076293945,12,7,5,male,single
3.5,12,6,2,female,single
3.259999990463257,12,13,3,female,married
3.25,12,14,0,female,married
8.0,12,14,4,female,single
9.850000381469728,8,40,24,male,married
7.5,12,11,7,male,married
5.909999847412109,12,14,6,male,married
11.760000228881836,14,40,39,male,married
3.0,12,1,0,female,single
4.809999942779541,12,2,0,female,single
6.5,12,4,1,female,single
4.0,9,19,1,female,married
3.5,13,1,0,male,single
13.15999984741211,12,34,22,male,married
4.25,14,5,2,male,married
3.5,12,3,0,male,single
5.130000114440918,15,6,6,female,single
3.75,12,14,0,female,married
4.5,12,35,12,female,married
7.630000114440918,12,8,4,female,single
15.0,14,7,7,male,married
6.849999904632568,15,11,3,female,married
13.329999923706056,12,14,11,male,married
6.670000076293945,12,35,10,male,single
2.5299999713897705,12,46,0,female,single
9.800000190734863,17,7,0,male,married
3.369999885559082,11,45,12,male,married
24.979999542236328,18,29,25,male,married
5.400000095367432,12,6,3,male,married
6.110000133514404,14,15,0,male,married
4.199999809265137,14,33,16,female,married
3.75,10,15,0,male,single
3.5,14,5,0,female,married
3.640000104904175,12,7,2,male,single
3.799999952316284,15,6,1,male,married
3.0,8,33,12,female,married
5.0,16,2,1,female,married
4.630000114440918,14,4,0,female,married
3.0,15,1,0,male,single
3.200000047683716,12,29,0,female,single
3.910000085830689,18,17,3,male,married
6.429999828338623,16,17,3,female,married
5.480000019073486,10,36,3,female,married
1.5,8,31,30,male,single
2.900000095367432,10,23,2,female,single
5.0,11,13,1,male,married
8.920000076293945,18,3,3,male,married
5.0,15,15,0,male,single
3.5199999809265137,12,48,1,male,married
2.900000095367432,11,6,0,female,single
4.5,12,12,0,male,married
2.25,12,5,0,female,single
5.0,14,19,5,male,married
10.0,16,9,3,male,married
3.75,2,39,13,male,married
10.0,14,28,11,female,married
10.949999809265137,16,23,20,male,married
7.900000095367432,12,2,0,male,single
4.71999979019165,12,15,1,female,single
5.840000152587891,13,5,0,female,married
3.829999923706055,12,18,2,female,single
3.200000047683716,15,2,2,female,single
2.0,10,3,0,female,single
4.5,12,31,4,female,married
11.550000190734863,16,20,5,female,married
2.140000104904175,13,34,15,female,married
2.380000114440918,9,5,0,male,single
3.75,12,11,0,male,single
5.519999980926514,13,31,3,male,single
6.5,12,8,5,female,married
3.0999999046325684,12,2,2,female,single
10.0,14,18,5,male,married
6.630000114440918,16,3,0,male,married
10.0,16,3,2,male,married
2.309999942779541,9,4,1,female,single
6.880000114440918,18,4,4,male,single
2.8299999237060547,10,1,0,male,single
3.130000114440918,10,1,0,female,single
8.0,13,28,5,male,married
4.5,12,47,4,female,married
8.649999618530273,18,13,1,female,single
2.0,13,2,6,female,single
4.75,12,48,2,female,married
6.25,13,6,5,female,married
6.0,13,8,0,male,married
15.380000114440918,13,25,21,male,married
14.579999923706056,18,13,7,female,single
12.5,12,8,1,male,single
5.25,12,19,10,female,married
2.1700000762939453,13,1,4,female,single
7.139999866485596,12,43,5,female,single
6.21999979019165,12,19,9,female,married
9.0,12,11,5,female,married
10.0,14,43,4,male,married
5.769999980926514,10,44,3,male,married
4.0,12,22,11,female,married
8.75,16,3,2,male,married
6.53000020980835,16,3,2,female,single
7.599999904632568,12,41,11,female,single
5.0,14,5,0,male,single
5.0,12,14,11,female,single
21.86000061035156,12,24,16,male,married
8.640000343322754,12,28,8,male,married
3.299999952316284,12,25,8,male,married
4.440000057220459,12,3,0,male,single
4.550000190734863,12,11,0,male,married
3.5,12,7,6,female,married
6.25,16,9,2,male,married
